period,age,reported_claims,incurred_severity,paid_to_incurred,case_reserves,incurred_loss_rate,paid_loss_rate,reported_frequency,incremental_incurred_severity
2001,11,637.3668,890.118,0.5746975649354426,241287.5404,0.0017932119141642407,0.0010305545204834128,2.014577717941251e-06,890.118
2001,23,682.2332,2278.4062,0.6738091033808289,507032.5472,0.004913133786254338,0.0033105142713060923,2.156390642185563e-06,22000.2647
2001,35,683.5528,2782.9421,0.8125619119234386,356561.1984,0.00601271783309785,0.004885705498318144,2.1605616105456895e-06,263628.0
2001,47,683.5528,3062.5888,0.9128346132583973,182475.6076,0.00661691179684074,0.006040146121034044,2.1605616105456895e-06,
2001,59,683.5528,3292.6042,0.9882484965427959,26448.7428,0.00711387433501313,0.007030275616171108,2.1605616105456895e-06,
2001,71,683.5528,3515.439,0.9503900332541124,119212.1625,0.007595322497424433,0.007218518800902915,2.1605616105456895e-06,
2001,83,700.7076,3421.3038,0.9434536060318404,135560.5682,0.007577449564538755,0.007148972116188487,2.214784199227338e-06,-329.6215
2001,95,700.7076,3453.2106,0.9473582552697385,127376.7521,0.007648116321147183,0.007245506134102006,2.214784199227338e-06,
2001,107,700.7076,3478.3519,0.9496320377617415,122762.2165,0.007703798748754876,0.007315774104286447,2.214784199227338e-06,
2001,119,700.7076,3507.6464,0.9530278008698592,115449.8906,0.007768679788135235,0.0074037678141486455,2.214784199227338e-06,
2001,131,700.7076,3582.8588,0.9552540399082066,112336.3604,0.00793525900492687,0.007580188222174367,2.214784199227338e-06,
2001,143,700.7076,3657.3908,0.9582262987508169,107056.0337,0.0081003312925091,0.0077619504730764175,2.214784199227338e-06,
2001,155,700.7076,3653.4369,0.9748955527777421,64267.1592,0.008091574344437014,0.00788843984336212,2.214784199227338e-06,
2001,167,700.7076,3736.9976,0.9773057288715352,59425.9163,0.00827664325535746,0.008088810869286797,2.214784199227338e-06,
2001,179,700.7076,3800.6836,0.9815996032035074,49003.346,0.00841769401857861,0.008262805108525301,2.214784199227338e-06,
2001,191,700.7076,4002.7778,0.9606290358625719,110426.7672,0.00886528897524054,0.008516254000928408,2.214784199227338e-06,
2001,203,700.7076,4097.3409,0.9691311438037071,88625.6556,0.009074725809507588,0.00879459940347311,2.214784199227338e-06,
2001,215,700.7076,4224.0147,0.9654864983160447,102153.0336,0.009355280907708046,0.00903239740434599,2.214784199227338e-06,
2001,227,700.7076,4299.9339,0.9847578528215934,45924.5344,0.009523425739006336,0.009378268282249776,2.214784199227338e-06,
2001,239,700.7076,4299.9339,0.9847578528215934,45924.5344,0.009523425739006336,0.009378268282249776,2.214784199227338e-06,0.0
2001,251,700.7076,4400.6872,0.9693756957203388,94432.9512,0.00974657254627312,0.00944809054293226,2.214784199227338e-06,
2001,263,700.7076,4461.8925,0.963186679012694,115096.185,0.009882129017977241,0.009518335030400475,2.214784199227338e-06,
